TIME,I_Atlas200DK-B,Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1692237209,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237210,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237211,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237212,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237213,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237214,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237215,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237216,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237217,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237218,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237219,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237220,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237221,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237222,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237223,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237224,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237225,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237226,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237227,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237228,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237229,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237230,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237231,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237232,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237233,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237234,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237235,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237236,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237237,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237238,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237239,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237240,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237241,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237242,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237243,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237244,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237245,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237246,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237247,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237248,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237249,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
1692237250,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.4,0.0,-1.0,-1.0
